"Gruppe";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2017 - Stemmeberettigede";"KV2017 - Afgivne stemmer";"KV2017 - Blanke stemmer";"KV2017 - Andre ugyldige stemmer";"KV2017 - Gyldige stemmer";"KV2017 - A";"KV2017 - B";"KV2017 - C";"KV2017 - F";"KV2017 - I";"KV2017 - J";"KV2017 - K";"KV2017 - M";"KV2017 - G";"KV2017 - N";"KV2017 - O";"KV2017 - H";"KV2017 - S";"KV2017 - V";"KV2017 - U";"KV2017 - Z";"KV2017 - Ø";"KV2017 - L";"KV2017 - Å";"KV2017 - R";"KV2017 - D";"KV2017 - P";"KV2017 - E";"KV2017 - Q";"KV2017 - Å1";"KV2017 - K2";"KV2017 - K1";"KV2017 - Æ";"KV2017 - W";"KV2017 - Y";"KV2017 - T"
"450012";"46";"6";"2";"44242";"34163";"460";"126";"33577";"9201";"1157";"3342";"2106";"145";"-";"-";"-";"2";"144";"3275";"65";"-";"10873";"-";"-";"1514";"419";"312";"6";"97";"919";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"461020";"42";"6";"2";"47913";"33644";"522";"150";"32972";"13868";"1239";"2746";"1613";"667";"46";"77";"-";"25";"-";"2549";"-";"-";"6847";"-";"-";"1991";"167";"748";"-";"227";"85";"77";"-";"-";"-";"-";"-";"-";"-";"-"
"461031";"43";"6";"2";"55091";"41123";"667";"191";"40265";"15596";"1984";"4324";"1968";"835";"58";"103";"-";"47";"-";"2386";"-";"-";"8747";"-";"-";"2407";"180";"1075";"-";"396";"80";"79";"-";"-";"-";"-";"-";"-";"-";"-"
"461036";"41";"6";"2";"59633";"39150";"684";"244";"38222";"17174";"1992";"2560";"2018";"763";"48";"84";"-";"344";"-";"2169";"-";"-";"5853";"-";"-";"2910";"177";"1634";"-";"275";"135";"86";"-";"-";"-";"-";"-";"-";"-";"-"
"479008";"47";"6";"2";"57483";"43016";"707";"129";"42180";"11405";"1731";"3455";"3914";"731";"-";"-";"-";"47";"191";"5349";"73";"-";"8385";"19";"-";"4040";"493";"1460";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"877"
"480005";"45";"6";"2";"53164";"40348";"559";"110";"39679";"15784";"1143";"1669";"2485";"765";"-";"-";"-";"-";"-";"3930";"-";"-";"11929";"-";"-";"1248";"-";"466";"-";"189";"71";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"492001";"48";"6";"2";"45983";"34702";"633";"130";"33939";"10215";"1478";"2364";"2093";"497";"-";"-";"-";"-";"-";"4818";"-";"-";"7758";"-";"-";"1396";"718";"1423";"-";"318";"435";"-";"-";"-";"-";"-";"426";"-";"-";"-"
"510028";"61";"7";"2";"44298";"32494";"492";"151";"31851";"9835";"1824";"1372";"1043";"1641";"-";"394";"-";"-";"-";"3875";"-";"701";"8422";"-";"-";"1870";"-";"409";"-";"390";"-";"54";"-";"-";"-";"-";"-";"-";"21";"-"
"530003";"55";"7";"2";"53510";"38650";"451";"128";"38071";"10716";"1338";"4104";"1040";"978";"-";"70";"-";"65";"-";"3917";"-";"-";"13669";"-";"-";"957";"-";"-";"-";"332";"-";"885";"-";"-";"-";"-";"-";"-";"-";"-"
"540011";"49";"7";"2";"59334";"44230";"569";"191";"43470";"18057";"288";"870";"918";"637";"-";"87";"114";"-";"-";"4436";"-";"5793";"9009";"-";"-";"786";"1422";"470";"-";"583";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"550025";"51";"7";"2";"30036";"21615";"303";"94";"21218";"4373";"149";"575";"738";"589";"-";"130";"-";"-";"-";"2214";"-";"1240";"9458";"-";"-";"480";"939";"190";"-";"143";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"561006";"52";"7";"2";"52631";"34987";"556";"155";"34276";"11380";"1011";"1358";"2258";"675";"-";"-";"124";"289";"59";"2963";"71";"-";"8740";"-";"-";"1576";"387";"1021";"26";"352";"13";"1900";"-";"-";"-";"-";"-";"-";"-";"73"
"561040";"53";"7";"2";"41950";"30855";"424";"107";"30324";"7913";"858";"1578";"1689";"542";"-";"-";"-";"113";"97";"2509";"-";"-";"11860";"-";"-";"961";"-";"606";"14";"251";"6";"1273";"-";"-";"-";"-";"-";"-";"-";"54"
"573004";"54";"7";"2";"39380";"28518";"334";"123";"28061";"5299";"1050";"1910";"545";"1102";"-";"133";"-";"-";"-";"2888";"-";"-";"11788";"-";"-";"729";"2447";"170";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"580014";"50";"7";"2";"46618";"32955";"471";"152";"32332";"9363";"567";"1573";"740";"528";"-";"62";"-";"-";"-";"4664";"-";"1974";"10831";"-";"-";"967";"-";"270";"109";"684";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"607002";"58";"7";"2";"40368";"28512";"326";"71";"28115";"15261";"342";"673";"979";"406";"-";"86";"-";"-";"-";"3433";"-";"-";"5115";"-";"-";"1114";"-";"389";"-";"233";"-";"-";"-";"-";"-";"-";"84";"-";"-";"-"
"615022";"71";"8";"3";"69800";"47808";"560";"193";"47055";"20321";"1052";"1936";"1849";"2249";"-";"125";"121";"-";"15";"5080";"-";"-";"10825";"-";"-";"2206";"-";"876";"-";"351";"-";"49";"-";"-";"-";"-";"-";"-";"-";"-"
"621007";"59";"7";"2";"34156";"24378";"233";"71";"24074";"4784";"1059";"687";"1748";"485";"-";"91";"-";"-";"-";"2174";"32";"-";"11669";"-";"-";"807";"-";"310";"-";"228";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"621011";"60";"7";"2";"37600";"27191";"313";"67";"26811";"5130";"1226";"979";"1868";"514";"-";"228";"-";"-";"-";"3482";"32";"-";"11962";"-";"-";"754";"-";"372";"-";"264";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"630013";"57";"7";"2";"46340";"31509";"446";"139";"30924";"10110";"1100";"2386";"2600";"854";"-";"160";"-";"6";"-";"3098";"-";"-";"8524";"-";"-";"871";"24";"543";"-";"484";"-";"164";"-";"-";"-";"-";"-";"-";"-";"-"
"630030";"56";"7";"2";"41583";"30472";"347";"95";"30030";"8346";"1425";"2026";"1758";"894";"-";"202";"-";"61";"-";"3657";"-";"-";"9761";"-";"-";"687";"22";"596";"-";"480";"-";"115";"-";"-";"-";"-";"-";"-";"-";"-"
"657009";"80";"9";"3";"33997";"24274";"226";"63";"23985";"4233";"1332";"998";"1132";"435";"-";"615";"-";"-";"-";"1260";"22";"-";"12954";"-";"-";"618";"-";"254";"-";"132";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"657017";"81";"9";"3";"34842";"26812";"231";"63";"26518";"4256";"1181";"1150";"1044";"321";"-";"1009";"-";"-";"-";"1601";"36";"-";"15117";"-";"-";"501";"-";"182";"-";"120";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"661009";"82";"9";"3";"45256";"34319";"333";"82";"33904";"14574";"1838";"856";"1613";"756";"-";"25";"-";"-";"-";"2287";"-";"-";"10519";"-";"-";"776";"-";"228";"-";"-";"-";"19";"-";"-";"287";"126";"-";"-";"-";"-"
"671003";"73";"9";"3";"32980";"25403";"196";"83";"25124";"6916";"978";"1807";"1941";"478";"-";"-";"-";"-";"-";"1277";"-";"-";"10666";"-";"44";"187";"-";"241";"-";"258";"-";"331";"-";"-";"-";"-";"-";"-";"-";"-"
"706005";"66";"8";"3";"64640";"46228";"512";"132";"45584";"14923";"1629";"2452";"5188";"1811";"-";"-";"-";"-";"-";"4175";"-";"-";"11432";"-";"15";"2238";"628";"950";"-";"143";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"710002";"69";"8";"3";"35996";"27351";"277";"56";"27018";"11641";"629";"1755";"756";"744";"-";"-";"-";"-";"-";"1772";"-";"-";"8021";"-";"-";"900";"-";"633";"-";"167";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
